Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Pháp,Thông tin liên hệ,"""KHOA TIẾNG PHÁP
Địa chỉ:    Phòng 214 - Nhà C
Điện thoại:    (024) 35 53 10 11    
E-mail:    khoaphap@hanu.edu.vn
Website:    http://web.hanu.vn/fr
Facebook:     https://www.facebook.com/khoaphap.hanu/""",https://hanu.edu.vn/c/6916/Ngon-ngu-Phap,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Pháp,Trình độ đào tạo,"""- Cử nhân Ngôn ngữ Pháp (2 định hướng: Biên - Phiên dịch và Du lịch);
- Cử nhân Truyền thông Doanh nghiệp (dạy - học bằng tiếng Pháp);
- Thạc sĩ Ngôn ngữ Pháp (định hướng Biên - Phiên dịch và Ngôn ngữ), liên kết với Trường Đại học Louvain (Bỉ);
- Tiến sĩ ngành Ngôn ngữ Pháp, liên kết với Trường Đại học Louvain (Bỉ).""",https://hanu.edu.vn/c/6916/Ngon-ngu-Phap,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Pháp,Giảng viên,"""- 25 giảng viên cơ hữu: 01 giáo sư, 05 tiến sĩ, 05 nghiên cứu sinh, 19 thạc sĩ, tất cả đều được đào tạo và tu nghiệp tại các trường đại học danh tiếng của Pháp, Bỉ, Canada;
- Nghiên cứu khoa học quốc tế và khu vực: 02 dự án quốc tế, 08 dự án cấp khu vực châu Á - Thái Bình Dương, 06 công trình khoa học cấp Bộ, 21 công trình khoa học cấp trường.""",https://hanu.edu.vn/c/6916/Ngon-ngu-Phap,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Pháp,Sinh viên,"""- 24 lớp, gần 600 sinh viên hệ đào tạo chính quy;
- Trung tâm Hướng nghiệp Pháp ngữ: thường xuyên tổ chức các hoạt động cung cấp kĩ năng mềm cho sinh viên và hỗ trợ sinh viên làm quen với môi trường công tác.
- Sinh viên đặc biệt năng động, nhiệt tình, sáng tạo: Lễ đón sinh viên mới, Ngày quốc tế Pháp ngữ 20/3, Trại hè sinh viên Pháp ngữ khu vực Châu Á - Thái Bình Dương...""",https://hanu.edu.vn/c/6916/Ngon-ngu-Phap,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Pháp,"""Học bổng, học chuyển tiếp tại Pháp""","""- Nhiều học bổng của Nhà trường và các tổ chức trong và ngoài nước cho sinh viên học tốt và sinh viên thuộc diện chính sách, gồm cả học bổng đi học tại Pháp, Bỉ và Canada;
- Gần 30 sinh viên đi học trao đổi hàng năm tại Pháp (ĐH Franche-Comté, INALCO), đón tiếp sinh viên Canada học tập và thực tập đến từ (CEGEP Sherbrooke, CEGEP Sainte-Foy), Thái Lan (ĐH Rangsit) và Trung Quốc (ĐH Dân tộc Quảng Tây và Học viện Ngoại ngữ Quảng Tây);
- Khoa có quan hệ hợp tác chặt chẽ với các tổ chức quốc tế và Đại sứ quán Pháp, Canada, Thụy sĩ; Phái đoàn Wallonie-Bruxelles tại Việt Nam, Tổ chức đại học Pháp ngữ (AUF), Tổ chức Pháp ngữ Quốc tế (OIF).""",https://hanu.edu.vn/c/6916/Ngon-ngu-Phap,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Pháp,Việc làm,"""- Vị trí công việc: giảng viên, biên dịch, phiên dịch, trợ lý dự án, trợ lý giám đốc, hướng dẫn viên du lịch, nhân viên kinh doanh và quản trị du lịch, nhân viên truyền thông, quan hệ công chúng, giảng viên, biên tập viên, phóng viên, phát thanh viên...;
- Đơn vị sử dụng lao động: cơ quan ngoại giao Việt Nam và nước ngoài (Pháp, Bỉ, Canada, Thụy Sĩ, Maroc, An-giê-ri...); các ngân hàng, dự án đầu tư, văn phòng đại diện thương mại, công ty du lịch lữ hành, tập đoàn lớn; báo chí, đài phát thanh, đài truyền hình; các trường CĐ, ĐH và trung tâm ngoại ngữ.""",https://hanu.edu.vn/c/6916/Ngon-ngu-Phap,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Pháp,"""Nội dung chương trình đào tạo - Thông tin chung""","""Thời gian đào tạo: 04 năm
Ngôn ngữ giảng dạy: Tiếng Pháp 
Định hướng Biên-Phiên dịch: 154 tín chỉ
Định hướng Du lịch: 154 tín chỉ""",https://hanu.edu.vn/c/6916/Ngon-ngu-Phap,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Pháp,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""KHÔI KIÊN THỨC GIÁO DỤC ĐẠI CƯƠNG: 41 tín chỉ (TC) Cung cấp kiến thức chung mà sinh viên các chương trình đại học cần biết: Triết học Mác - Lê-nin (3TC), Kinh tế chính trị Mác - Lê-nin (2TC), Chủ nghĩa xã hội khoa học (2TC), Tư tưởng Hồ Chí Minh (2TC), Lịch sử Đảng CSVN (2TC), Pháp luật đại cương (2TC), Ứng dụng công nghệ thông tin (3TC), Ngoại ngữ 2 (14TC), Giáo dục Thể chất (3TC), Giáo dục Quốc phòng (8TC).""",https://hanu.edu.vn/c/6916/Ngon-ngu-Phap,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Pháp,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""KHỐI KIỀN THỨC CƠ SỞ NGÀNH: 10 tín chỉ (TC) 
1.	Bắt buộc: 6 TC 
- Nhập môn Việt ngữ học: 2 TC
- Dẫn luận ngôn ngữ học: 2 TC
- Cơ sở văn hóa Việt Nam: 2 TC 
2.	Tự chọn: 4 TC - Chọn 4 trong số 10 tín chỉ của các học phần sau: 
-	Tiếng Việt trong hành chức (2TC)
-	Văn bản tiếng Việt (2TC)
-	Lịch sử văn minh thế giới (2TC)
-	Hà Nội học (2TC)
-	Dụng học Việt ngữ (2TC)""",https://hanu.edu.vn/c/6916/Ngon-ngu-Phap,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Pháp,"""Nội dung chương trình đào tạo - Khối kiến thức ngành""","""KHỐI KIỀN THỨC NGÀNH: 64 tín chỉ (TC)
1. Bắt buộc: 61 TC 
- Thực hành tiếng từ trình độ A1 đến C1: 46 TC 
- Văn hóa Pháp ngữ: 3 TC
- Ngôn ngữ học tiếng Pháp: 6 TC
- Văn học Pháp ngữ: 4 TC
- Phương pháp nghiên cứu khoa học: 2TC
2. Tự chọn: 03 TC 
- Giao tiếp liên văn hóa: 3TC
- Phân tích văn bản: 3TC 
- Ngôn ngữ học đối chiếu: 3TC""",https://hanu.edu.vn/c/6916/Ngon-ngu-Phap,
