Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc chất lượng cao,Thông tin liên hệ,"""KHOA TIẾNG HÀN QUỐC
Địa chỉ:    Phòng 301 - Nhà C
Điện thoại:    (84.24) 35 54 19 38 hoặc (84.24) 38 54 43 38; số máy lẻ 3301 & 3302
Fax:         (84.24) 38 54 45 50
E-mail:     tuyensinhkoreanhanu@gmail.com
Website:    http://web.hanu.vn/kr
Facebook:    Khoa tiếng  Hàn Quốc Hanu
Mobile:    Ms Ngoãn 0965.800.858    Ms Thu Ngân 0865.870.715""",https://hanu.edu.vn/c/7916/Ngon-ngu-Han-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc chất lượng cao,Chương trình đào tạo tiên tiến,"""-  Tham khảo có chọn lọc từ các chương trình đào tạo của các trường đại học có uy tín ở Hàn Quốc, đáp ứng nhu cầu nhân lực chất lượng cao của thị trường lao động ở Việt Nam.  
-  Cung cấp kiến thức chuyên sâu về ngôn ngữ và văn hóa Hàn Quốc, kiến thức cơ bản của chuyên ngành Biên - Phiên dịch, đồng thời rèn luyện các kỹ năng mềm và kỹ năng nghiệp vụ chuyên ngành cần có.
-  Tăng cường giờ thực hành, kiến tập, thực tập để sinh viên phát huy tối đa khả năng giao tiếp bằng ngoại ngữ, kiến thức chuyên ngành cũng như các kỹ năng mềm.""",https://hanu.edu.vn/c/7916/Ngon-ngu-Han-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc chất lượng cao,Sử dụng thành thạo hai ngoại ngữ,"""-  Cử nhân ngành Ngôn ngữ Hàn Quốc chất lượng cao sử dụng thành thạo tiếng Hàn trong dịch thuật, làm việc hiệu quả trong các lĩnh vực chuyên môn có sử dụng tiếng Hàn, đạt chuẩn đầu ra tiếng Hàn C1 và giao tiếp tiếng Anh cơ bản trình độ B2 theo khung tham chiếu Ngoại ngữ chung Châu Âu;
-  Được đào tạo trong môi trường đại học có truyền thống về giảng dạy ngoại ngữ, với các giảng viên nhiệt tình, giỏi chuyên môn, được đào tạo đúng chuyên ngành tại Hàn Quốc.""",https://hanu.edu.vn/c/7916/Ngon-ngu-Han-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc chất lượng cao,Học trao đổi và chuyển tiếp tại nước ngoài,"""-  Trong thời gian học, sinh viên có thể đi học trao đổi 01 học kỳ hoặc 01 năm tại các trường đối tác của Trường Đại học Hà Nội tại Hàn Quốc.
-  Sau khi tốt nghiệp, sinh viên có thể tiếp tục theo học các chương trình Thạc sĩ chuyên ngành Ngôn ngữ Hàn Quốc, Giảng dạy Ngôn ngữ - Văn hóa Hàn Quốc tại các cơ sở đào tạo trong nước và nước ngoài.""",https://hanu.edu.vn/c/7916/Ngon-ngu-Han-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc chất lượng cao,Giảng viên và các chuyên gia,"""Đội ngũ giảng viên người Việt Nam và Hàn Quốc giỏi chuyên môn, có nhiều kinh nghiệm trong giảng dạy và nghiên cứu khoa học; Có sự tham gia của đội ngũ chuyên gia, giáo sư mời giảng, các đại diện doanh nghiệp…""",https://hanu.edu.vn/c/7916/Ngon-ngu-Han-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc chất lượng cao,Việc làm,"""Chương trình với định hướng nghề nghiệp Biên - Phiên dịch, đây là ngành hiện đang có chính sách đãi ngộ lao động cao và có nhu cầu lớn về nhân lực chất lượng cao.
Sinh viên tốt nghiệp có thể đảm nhận những vị trí công việc như sau:
VT1: Biên - Phiên dịch viên/Biên tập viên
- Biên – phiên dịch làm việc cho các cá nhân, tổ chức nhà nước hoặc tư nhân trong các lĩnh vực như ngoại giao, kinh tế, giáo dục, du lịch, xã hội.
- Cộng tác viên (dịch công chứng) tại các văn phòng công chứng nhà nước và tư nhân.
- Biên dịch/biên tập tại các nhà xuất bản có các ấn phẩm dịch từ tiếng Hàn Quốc và ngược lại.
- Biên dịch/biên tập tại các tòa soạn, đài truyền hình.
VT2: Nhân viên văn phòng/Trợ lý đối ngoại
- Chuyên viên/nhân viên cho các cơ quan, tổ chức nhà nước hoặc tư nhân, phụ trách hỗ trợ các công việc liên quan đến đối ngoại, quản lý quan hệ doanh nghiệp, xuất – nhập khẩu, đàm phán, ký kết, theo dõi thực hiện hợp đồng, quản lý dự án và marketing.
- Chuyên viên/nhân viên thực hiện công tác lập kế hoạch, chương trình đón tiếp khách quốc tế.
VT3: Giáo viên tiếng Hàn/Nghiên cứu viên
- Giáo viên giảng dạy tiếng Hàn tại các trường đại học, cao đẳng, cơ sở giáo dục phổ thông và các trung tâm ngoại ngữ.
- Nghiên cứu viên tại các cơ sở đào tạo và nghiên cứu về Ngôn ngữ và Văn hóa Hàn Quốc trong và ngoài nước.
VT4: Nhân viên ngành Du lịch
- Nhân viên/chuyên viên chăm sóc khách hàng tại các đại lý, công ty du lịch, công ty lữ hành.""",https://hanu.edu.vn/c/7916/Ngon-ngu-Han-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc chất lượng cao,"""Nội dung chương trình đào tạo - Thông tin chung""","""Thời gian đào tạo: 04 năm 
Ngôn ngữ giảng dạy: Tiếng Hàn Quốc
Tổng số tín chỉ: 163 TC""",https://hanu.edu.vn/c/7916/Ngon-ngu-Han-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc chất lượng cao,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""KHỐI KIẾN THỨC CHUNG: 47 tín chỉ (TC)
Cung cấp kiến thức chung với các học phần: Triết học Mác-Lênin (3TC), Kinh tế chính trị Mác - Lênin (2TC); Chủ nghĩa xã hội khoa học (2TC), Lịch sử Đảng CSVN (2TC), Tư tưởng Hồ chí Minh (2TC), Pháp luật đại cương (2TC), Giáo dục Thể chất (3TC), Giáo dục Quốc phòng (8TC), Ứng dụng công nghệ thông tin (3TC), Ngoại ngữ 2 (20TC).""",https://hanu.edu.vn/c/7916/Ngon-ngu-Han-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc chất lượng cao,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""KHỐI KIẾN THỨC CƠ SỞ NGÀNH: 10 tín chỉ (TC)
Cung cấp kiến thức nền tảng để học ngành ngôn ngữ và định hướng nghề nghiệp liên quan:
1. Bắt buộc: 6 TC 
- Dẫn luận Ngôn ngữ học: 2TC
- Nhập môn Việt ngữ học: 2TC
- Cơ sử Văn hóa Việt Nam: 2TC
2. Tự chọn: 4 TC - Chọn 04 trong số 08 tín chỉ của các học phần sau: Hà Nội học (2TC), Lịch sử văn minh thế giới (2TC), Tiếng Việt thực hành (2TC), Soạn thảo văn bản tiếng Việt (2TC).""",https://hanu.edu.vn/c/7916/Ngon-ngu-Han-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc chất lượng cao,"""Nội dung chương trình đào tạo - Khối kiến thức ngành""","""KHỐI KIẾN THỨC NGÀNH: 66 tín chỉ (TC)
1. Thực hành tiếng Bắt buộc: 52 TC
- Thực hành tiếng từ trình độ A1 đến C1
2. Khối kiến thức Ngôn ngữ - Văn hóa Hàn Quốc
2.1. Bắt buộc: 10 TC 
- Phương pháp nghiên cứu khoa học: 2TC 
- Ngữ pháp học tiếng Hàn: 2TC
- Văn học Hàn Quốc: 2TC 
- Lý thuyết tiếng: 2TC
- Đất nước học: 2TC
2.2. Tự chọn: 04 Tín chỉ - Chọn 04 trong số 10 TC của các học phần sau:
- Tiếng Hàn kinh tế: 2TG
- Tiếng Hàn du lịch cơ bản: 2TG
- Thư tín tiếng Hàn: 2TC
- Tiếng Hàn thương mại: 2TC
- Kinh tế Hàn Quốc và người tiêu dùng : 2TC""",https://hanu.edu.vn/c/7916/Ngon-ngu-Han-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc chất lượng cao,"""Nội dung chương trình đào tạo - Khối kiến thức chuyên ngành""","""KHỐI KIẾN THỨC CHUYÊN NGÀNH:
1. Định hướng Biên - Phiên dịch: 28 tín chỉ (TC)
1.1. Bắt buộc: 22 TC
- Nhập môn Biên - Phiên dịch: 02 TC 
- Phiên dịch cơ bản, trung cấp, nâng cao: 09 TC
- Biên dịch cd bản, trung cấp, nâng cao: 09 TC
- Dịch chuyên ngành: 02 TC
1.2. Tự chọn: 06 TC - Chọn 06 trong số 12 TC của các học phần sau: Phân tích đánh giá bản dịch (2TC); Dịch
chuyên đề Báo chí (2TC); Dịch chuyên đề Kinh tế - Thương mại (2TC); Dịch chuyên đề Du lịch (2TC); Dịch chuyên đề Văn hóa - Xã hội (2TC); Dịch chuyên đề Pháp luật (2TC).""",https://hanu.edu.vn/c/7916/Ngon-ngu-Han-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc chất lượng cao,"""Nội dung chương trình đào tạo - Thực tập và khóa luận tốt nghiệp""","""THỰC TẬP VÀ KHÓA LUẬN TỐT NGHIỆP: 12 tín chỉ (TC)
- Kiến tập: 03 TC 
- Khóa luận tốt nghiệp: 08 TC
- Thực tập: 03 TC""",https://hanu.edu.vn/c/7916/Ngon-ngu-Han-Quoc-CLC,
