Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Kinh doanh,Thông tin liên hệ,"""KHOA QUẢN TRỊ KINH DOANH VÀ DU LỊCH: Khoa đào tạo chính quy đầu tiên ở Việt Nam có 100% các môn chuyên ngành giảng dạy bằng tiếng Anh theo chương trình, giáo trình chuẩn quốc tế của các nước Anh, Ô-xtrây-li-a, Hoa Kỳ. Bên cạnh đó, Khoa còn tổ chức đào tạo một số chứng chỉ hành nghề quốc tế trong lĩnh vực kế toán, kiểm toán và phân tích tài chính như ACCA và CFA.
Địa chỉ:    Phòng 201- Nhà C
Điện thoại:    (84.4) 3553 3560        
Fax:        (84.4) 3854 4550    
E-mail:     fmt@hanu.edu.vn
Website:    http://fmt.hanu.edu.vn
Facebook :    https://www.facebook.com/FMTHanu/ """,https://hanu.edu.vn/a/62591/Chuong-trinh-dao-tao-cu-nhan-he-chinh-quy-nganh-Quan-tri-Kinh-doanh/,
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Kinh doanh,Chương trình đào tạo,"""- Cử nhân Quản trị Kinh Doanh, Quản trị Dịch vụ Du lịch và Lữ hành, Kế toán, Tài chính – Ngân hàng.
- Thạc sĩ Quản trị Kinh doanh.""",https://hanu.edu.vn/a/62591/Chuong-trinh-dao-tao-cu-nhan-he-chinh-quy-nganh-Quan-tri-Kinh-doanh/,
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Kinh doanh,Sinh viên,"""- Hơn 1.600 sinh viên;
- Sinh viên sáng tạo, năng động và nhiệt tình trong các hoạt động xã hội (tổ chức Sharing Smiles, OneHeartLand), câu lạc bộ Marketing, Kế toán, Chứng khoán, Khởi nghiệp DYNAMIC, Cộng đồng Du lịch TRC, Dự án SIFE vì cộng đồng, Dự án Homevisit Du lịch.
- Sinh viên thường xuyên tham gia và đạt được giải thưởng tại các cuộc thi quốc gia và quốc tế dành cho sinh viên: cuộc thi phân tích tài chính CFA Research Challenge do viện CFA tổ chức, cuộc thi CIMA Global Challenge do hiệp hội Kế toán quản trị (CIMA) tổ chức, cuộc thi mô hình toán kinh tế do Trường ĐH Ngoại thương tổ chức, các cuộc thi dành cho sinh viên toàn cầu do các công ty quốc tế tổ chức như HSBC, Nielsen, KPMG...""",https://hanu.edu.vn/a/62591/Chuong-trinh-dao-tao-cu-nhan-he-chinh-quy-nganh-Quan-tri-Kinh-doanh/,
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Kinh doanh,Giảng viên,"""- Trên 80% giảng viên có bằng thạc sĩ và tiến sĩ của nước ngoài như Anh, Hoa Kỳ, Ô-xtrây-li-a;
- Đội ngũ giảng viên thỉnh giảng có kinh nghiệm thực tế, là những chuyên gia về quản lý hay tài chính của các tập đoàn, công ty du lịch, khách sạn lớn.""",https://hanu.edu.vn/a/62591/Chuong-trinh-dao-tao-cu-nhan-he-chinh-quy-nganh-Quan-tri-Kinh-doanh/,
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Kinh doanh,Học bổng và học chuyển tiếp tại nước ngoài,"""- Học bổng toàn phần hoặc bán phần của Trường ĐH Hà Nội cho các sinh viên học giỏi; miễn giảm học phí cho các sinh viên thuộc diện chính sách;
- Nhiều cơ hội nhận học bổng từ các doanh nghiệp (KPMG, Unilever, Lotte), các trường ĐH (ĐH Quốc gia Singapore, ĐH Sogun – Hàn Quốc), từ các cơ quan, Đại sứ quán Hoa Kỳ, Singapore tại Việt Nam...;
- Học bổng đi học tại châu Âu trong 01 kỳ hoặc 01 năm với các dự án Erasmus+;
- Sinh viên có cơ hội học trao đổi hoặc chuyển tiếp tại các trường ĐH danh tiếng khi học hết năm thứ 2 hoặc năm thứ 3:
+ Trường ĐH California (Mỹ);
+ Trường ĐH La Trobe (Ô-xtrây-li-a);
+ Trường ĐH Công nghệ Nanyang (Singapore);
+ Trường ĐH Shefield Halam (Anh);
+ Trường ĐH Công nghệ Auckland (Niu Di-lân);
+ Trường ĐH Westminter (Anh);
+ Trường ĐH Quốc gia Kangnung(Hàn Quốc).""",https://hanu.edu.vn/a/62591/Chuong-trinh-dao-tao-cu-nhan-he-chinh-quy-nganh-Quan-tri-Kinh-doanh/,
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Kinh doanh,Việc làm,"""- 90% sinh viên có việc làm phù hợp trong kỳ thực tập, mức lương năm đầu tiên sau khi tốt nghiệp từ 4 triệu đến 8 triệu VNĐ.
- Vị trí công việc: quản lý, chuyên viên, nhân viên tại các doanh nghiệp và các tổ chức trong ngành du lịch, kế toán, tài chính - ngân hàng.
- Các doanh nghiệp tuyển dụng: Công ty Kiểm toán – Tư vấn doanh nghiệp trong nhóm Big4 bao gồm KPMG, Ernst&Young, Deloitte, PWC; công ty Grant Thornton; công ty Unilever, VCCI, Travel Support, Tập đoàn InterContinental, các khách sạn lớn; các ngân hàng và nhiều công ty tài chính chứng khoán khác.""",https://hanu.edu.vn/a/62591/Chuong-trinh-dao-tao-cu-nhan-he-chinh-quy-nganh-Quan-tri-Kinh-doanh/,
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Kinh doanh,"""Nội dung chương trình đào tạo - Thông tin chung""","""Thời gian đào tạo: 04 năm 
Tổng số tín chỉ: 147 tín chỉ 
Chương trình giảng dạy bằng tiếng Anh""",https://hanu.edu.vn/a/62591/Chuong-trinh-dao-tao-cu-nhan-he-chinh-quy-nganh-Quan-tri-Kinh-doanh/,
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Kinh doanh,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""KHỐI KIẾN THỨC GIÁO DỤC ĐẠI CƯƠNG: 69 tín chỉ (TC) Cung cấp kiến thức chung mà sinh viên các chương trình đại học cần biết: Triết học Mác - Lê-nin (3TC), Kinh tế chính trị Mác - Lê-nin (2TC), Chủ nghĩa xã hội khoa học (2TC), Tư tưởng Hồ Chí Minh (2TC), Lịch sử Đảng CSVN (2TC), Pháp luật đại cương (2TC), Ứng dụng công nghệ thông tin (3TC), Thực hành tiếng A2 đến B2 (42TC), Giáo dục Thể chất (3TC), Giáo dục Quốc phòng – An ninh (8TC)""",https://hanu.edu.vn/a/62591/Chuong-trinh-dao-tao-cu-nhan-he-chinh-quy-nganh-Quan-tri-Kinh-doanh/,
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Kinh doanh,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""KHỐI KIẾN THỨC CƠ SỞ NGÀNH: 27 tín chỉ (TC)
Cung cấp kiến thức nền tảng và các định hướng nghề nghiệp liên quan:
Bắt buộc: 21 TC
- Toán cao cấp và ứng dụng trong kinh tế - kinh doanh: 3TC
- Xác suất và thống kê: 3TC
- Kinh tế vi mô: 3TC
- Kinh tế vĩ mô: 3TC 
- Nguyên lý kế toán: 3TC
- Quản trị tài chính: 3TC
- Nguyên lý Marketing: 3TC
Tự chọn: 8 TC
Chọn 6 trong số 18 tín chỉ của các học phần sau:
- Đạo đức kinh doanh: 3TC
- Luật kinh tế: 3TC
- Thống kê ứng dụng trong kinh doanh và kinh tế: 3TC
- Kinh tế lượng: 3TC
- Phương pháp nghiên cứu trong kinh doanh: 3TC
- Bền vững trong kinh doanh: 3TC""",https://hanu.edu.vn/a/62591/Chuong-trinh-dao-tao-cu-nhan-he-chinh-quy-nganh-Quan-tri-Kinh-doanh/,
Chương trình đào tạo cử nhân hệ chính quy ngành Quản trị Kinh doanh,"""Nội dung chương trình đào tạo - Khối kiến thức ngành""","""KHỐI KIỀN THỨC NGÀNH: 36 tín chỉ (TC)
1. Bắt buộc: 21 TC
- Quản trị học: 3TC 
- Quản trị kinh doanh quốc tế: 3TC 
- Quản trị chiến lược: 3TC 
- Nhập môn vận trù học: 3TC 
- Quản trị nhân sự: 3TC 
- Giao tiếp trong kinh doanh: 3TC
- Hành vi tổ chức: 3TC 
2. Tự chọn: 15 TC - Chọn 15 TC (12 TC đối với sinh viên làm khóa luận) trong số 30 tín chỉ của các học phần sau: 
- Lãnh đạo trong doanh nghiệp: 3TC 
- Quản trị dự án: 3TC 
- Quản lý chuỗi cung ứng: 3TC 
- Tài chính doanh nghiệp: 3TC
- Hệ thống thông tin quản lý: 3TC 
- Mô hình kinh doanh: 3TC 
- Khởi nghiệp: 3TC 
- Thiết kế tổ chức: 3TC 
- Quản trị nhân sự chiến lược: 3TC 
- Khởi nghiệp xã hội: 3TC""",https://hanu.edu.vn/a/62591/Chuong-trinh-dao-tao-cu-nhan-he-chinh-quy-nganh-Quan-tri-Kinh-doanh/,
