Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc chất lượng cao,Thông tin liên hệ,"""KHOA TIẾNG TRUNG QUỐC
Địa chỉ: Phòng 315 – 317 Nhà C
Điện thoại: (84.024) 38 54 77 60        
Fax: (84.024) 38 54 77 60    
E-mail: khoatrung@hanu.edu.vn
Website: http://cn.hanu.vn
Facebook: Khoa tiếng Trung Quốc Hanu""",https://hanu.edu.vn/c/7912/Ngon-ngu-Trung-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc chất lượng cao,Chương trình đào tạo tiên tiến,"""-  Tham khảo có chọn lọc từ các chương trình đào tạo quốc tế của Trung Quốc, đáp ứng nhu cầu nguồn nhân lực chất lượng cao của xã hội.
-  Đào tạo theo Cung cấp kiến thức vềđịnh hướng biên - phiên dịch, đặc biệt trong các lĩnh vực dịch thuật ngoại giao, chính trị, kinh tế, giáo dục, du lịch, báo chí, pháp luật,các phương pháp và kỹ xảo chính trong biên-phiên dịch; nắm vững các kiến thức và khái niệm, những quy tắc lễ nghi giao tiếp cơ bản trong ngành Ddu lịch và Tthương mại, có thể tham gia đàm phán hợp đồng, tiếp thị sản phẩm, giải quyết tranh chấp thương mại,.
-  Nhiều giờ thực hành tiếng, làm việc nhóm, được ưu tiên tham gia các chương trình chuyển tiếp, trao đổi với thời gian học trao đổi ít nhất 01 học kỳ tại các trường đối tác và thực tập tại doanh nghiệp ở Trung Quốc hoặc Đài Loan (Trung Quốc) để sinh viên có cơ hội nâng cao thực hành tiếng, kết nối doanh nghiệp và trải nghiệm văn hóa tại nước bạn.""",https://hanu.edu.vn/c/7912/Ngon-ngu-Trung-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc chất lượng cao,Sử dụng thành thạo hai ngoại ngữ,"""-  Sinh viên được học đủ số giờ ngoại ngữ để đạt trình độ tiếng Trung Quốc C2 và tiếng Anh B2 nhằm nâng cao kĩ năng thực hành tiếng, từ đó hiểu biết sâu về các lĩnh vực kinh tế thương mại, du lịch và biên phiên dịch phục vụ học tập và công việc sau này.
-  Học ngoại ngữ với một trường đại học có truyền thống hơn 60 năm về giảng dạy ngoại ngữ cùng các giảng viên nhiệt tình, giỏi chuyên môn, được đào tạo tại Trung Quốc và Đài Loan (Trung Quốc).""",https://hanu.edu.vn/c/7912/Ngon-ngu-Trung-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc chất lượng cao,Học trao đổi và chuyển tiếp tại nước ngoài,"""-  Trong thời gian học, sinh viên được đi ưu tiên tham gia các chương trình  học chuyển tiếp, trao đổi với thời gian từ 01 học kỳ hoặcđến 01 năm tại các trường đối tác của Trường Đại học Hà Nội tại Trung Quốc và Đài Loan (Trung Quốc).
-  Sau khi tốt nghiệp, sinh viên có thể tiếp tục theo học các chương trình tThạc sĩ về Du lịch hoặc Ngôn ngữ ngành ngôn ngữ hoặc các ngành khác tại các cơ sở đào tạo trong nước và nước ngoài.""",https://hanu.edu.vn/c/7912/Ngon-ngu-Trung-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc chất lượng cao,Giảng viên và các chuyên gia,"""-  100% Giảng viên được đào tạo tại các cơ sở đào tạo nổi tiếng trong và ngoài nướcnước ngoài, tất cả giảng viên đều có học vị tiến sĩ đều được đào tạo tại nước ngoài.
-  Chuyên gia về ngôn ngữ đến từ các trường đại học ở Trung Quốc làm việc tại Viện Khổng Tử tại Trường Đại học Hà Nội cùng phối hợp giảng dạy.""",https://hanu.edu.vn/c/7912/Ngon-ngu-Trung-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc chất lượng cao,Việc làm,"""Sau khi tốt nghiệp, sinh viên có năng lực sử dụng tiếng Trung Quốc thành thạo, khả năng tiếng Anh tốt, đồng thời có kiến thức sâu về văn hóa, đất nước con người, tình hình chính trị, kinh tế của Trung Quốc, có kiến thức chuyên môn về chuyên ngành kinh tế, thương mại và du lịch, đảm bảo có thể đảm nhiệm ngay các vị trí công việc sau:
1. Biên-Phiên dịch viên/Biên tập viên/Nghiên cứu viên
- Phiên dịch viên tại các cơ quan/tổ chức/doanh nghiệp trong các lĩnh vực ngoại giao, kinh tế, giáo dục, xã hội;
- Biên dịch viên, biên tập viên tại các nhà xuất bản có xuất bản phẩm dịch từ tiếng Trung Quốc sang tiếng Việt hoặc/và ngược lại; các cơ quan báo chí; các văn phòng công chứng;
- Nghiên cứu viên tại các cơ sở đào tạo và viện nghiên cứu về Trung Quốc.
2. Thư ký văn phòng/Trợ lý đối ngoại/Trợ lý dự án
Thư ký văn phòng, nhân viên phụ trách đối ngoại, hợp tác, kinh doanh, xuất nhập khẩu với các đối tác nước ngoài tại cơ quan/tổ chức/doanh nghiệp cần năng lực tiếng Trung Quốc.
3. Nhân viên ngành du lịch
- Nhân viên kinh doanh, điều hành, chăm sóc khách hàng, hướng dẫn viên tại các cơ quan/tổ chức/doanh nghiệp du lịch - lữ hành trong và ngoài nước chuyên tổ chức các chương trình du lịch cho du khách Trung Quốc tới Việt Nam và ngược lại;
- Nhân viên kinh doanh, điều hành, chăm sóc khách hàng tại các nhà hàng, khách sạn có khách nói tiếng Trung Quốc.
-  Biên phiên dịch: biên dịch trong các lĩnh vực dịch thuật ngoại giao, chính trị, kinh tế, giáo dục, du lịch, báo chí, pháp luật; có thể dịch song song, dịch nối tiếp, dịch nghe nhìn trong nhiều lĩnh vực.
-  Biên tập viên, phóng viên báo chí: biên tập viên cho đài truyền hình,đài phát thanh,...
-  Thư ký: thư ký văn phòng, thư ký giám đốc,...
- Giáo dục, đào tạo: giảng dạy tiếng Trung Quốc cho bậc phổ thông và đại học, chuyên viên quản lý đào tạo, ...
-  Nhân viên kinh doanh: nhân viên marketing du lịch, quản lý nhà hàng, khách sạn, quản lý điều hành du lịch, ...""",https://hanu.edu.vn/c/7912/Ngon-ngu-Trung-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc chất lượng cao,"""Nội dung chương trình đào tạo - Thông tin chung""","""Thời gian đào tạo: 04 năm 
Ngôn ngữ giảng dạy: Tiếng Trung Quốc 
Tổng số tín chỉ: 163 TC""",https://hanu.edu.vn/c/7912/Ngon-ngu-Trung-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc chất lượng cao,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""KHÓI KIỀN THỨC GIÁO DỤC ĐẠI CƯƠNG: 49 tín chỉ (TC) - Triết học Mác - Lê-nin (3TC); Kinh tế chính trị Mác - Lê-nin (2TC); Chủ nghĩa xã hội khoa học (2TC) ; Tư tưởng Hồ Chí Minh (2TC); Lịch sử Đảng Cộng sản Việt Nam (2TC); Pháp luật đại cương (2TC); Ứng dụng công nghệ thông tin (3TC); Ngoại ngữ 2 (tiếng Anh) (20TC) ; Phương pháp học tập tiếng Trung Quốc (2TC);Giáo dục Thẻ chất (3TC); Giáo dục Quốc phòng (8TC).""",https://hanu.edu.vn/c/7912/Ngon-ngu-Trung-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc chất lượng cao,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""KHỐI KIỀN THỨC CƠ SỞ NGÀNH: 12 tín chỉ (TC) Cung cấp kiến thức nền tảng để học ngành ngôn ngữ và các định hướng nghề nghiệp liên quan. 
1. Bắt buộc: 8 TC 
- Nhập môn Việt ngữ học: 2 TC 
- Cơ sở văn hóa Việt Nam: 2 TC 
- Dẫn luận ngôn ngữ học: 2 TC 
- Phương pháp nghiên cứu khoa học: 2 TC
2. Tự chọn: 4 TC - Tự chọn 04 trong 08 TC của các học phần sau: 
- Tiếng Việt trong hành chức: 2 TC 
- Hà Nội học: 2 TC 
- Văn bản tiếng Việt: 2 TC 
- Dụng học Việt ngữ: 2 TC 
- Lịch sử văn minh thế giới: 2 TC""",https://hanu.edu.vn/c/7912/Ngon-ngu-Trung-Quoc-CLC,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Trung Quốc chất lượng cao,"""Nội dung chương trình đào tạo - Khối kiến thức thực hành tiếng""","""KHỐI KIỀN THỨC THỰC HÀNH TIÉNG: 42 tín chỉ (TC) Thực hành tiếng Trung Quốc từ trình độ A1 đến C1 (bắt buộc) 
- Thực hành tiếng A1: 8 TC 
- Thực hành tiếng A2: 8 TC 
- Thực hành tiếng B1: 8 TC
- Thực hành tiếng B1: 8 TC 
- Thực hành tiếng C1: 8 TC 
- Thực hành tiếng nâng cao: 2 TC""",https://hanu.edu.vn/c/7912/Ngon-ngu-Trung-Quoc-CLC,
