Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Anh,"""Trình độ và hệ đào tạo""","""- Cử nhân ngành Ngôn ngữ Anh (định hướng: Biên phiên dịch; và Phương pháp giảng dạy tiếng Anh).
- Các hệ đào tạo: Chính quy, Vừa làm vừa học, Bằng đại học thứ 2, Học cùng lúc 2 chương trình.""",https://hanu.edu.vn/c/6914/Ngon-ngu-Anh,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Anh,"""Thông tin liên lạc""","""Phòng 217 nhà C Trường Đại học Hà Nội; Điện thoại: 024 38543136; Email: vpktienganh@hanu.edu.vn; Facebook: http://fb.com/hanuenglishdepartment""",https://hanu.edu.vn/c/6914/Ngon-ngu-Anh,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Anh,"""Giảng viên""","""- Hơn 60 giảng viên cơ hữu, và gần 30 giảng viên thỉnh giảng và chuyên gia nước ngoài.
- Đa số giảng viên có bằng thạc sĩ và tiến sĩ, được đào tạo ở các quốc gia nói tiếng Anh như Vương quốc Anh, Australia, Hoa Kỳ, New Zealand, v.v.""",https://hanu.edu.vn/c/6914/Ngon-ngu-Anh,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Anh,"""Sinh viên""","""- Hơn 1500 sinh viên chính quy.
- Nhiều sinh viên được giải thưởng nghiên cứu khoa học cấp Bộ, cấp Trường.
- Sinh viên tích cực tham gia nhiều dự án, cuộc thi tiếng Anh: ECHOES - Cuộc thi hùng biện tiếng Anh, The Reading Voice - Cuộc thi tìm kiếm giọng đọc tiếng Anh hay, EPP - Dự án tiếng Anh hướng nghiệp cho sinh viên, WE READ - Dự án Đọc mở rộng, Cuộc thi Dịch giỏi, Cuộc thi Nói giỏi, v.v.
- Sinh viên năng động, tự tổ chức các sự kiện truyền thống của Khoa: WE ARE FAMILY - Chào đón tân sinh viên, ENGLISH CULTURE MONTH - Tháng văn hóa các nước nói Tiếng Anh, CONGRADULATIONS - Prom chia tay sinh viên năm cuối. v.v.
- Sinh viên phát triển sở thích cá nhân với các CLB tiếng Anh (Voice of Hanu), CLB Âm nhạc (HANU Music Club), CLB Ghita (Hanu Guitar Club), CLB Nhiếp ảnh (Hanu Photography Club), tạp chí HanuTimes, CLB truyền thông của Khoa, v.v..
- Sinh viên nhiệt tình với các hoạt động tình nguyện: Chiến dịch mùa hè xanh, các hội nghị quan trọng như APEC, IPU, Asian Indoor Games, SEAGames, v.v.""",https://hanu.edu.vn/c/6914/Ngon-ngu-Anh,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Anh,"""Chương trình học tại nước ngoài""","""- Học bổng Erasmus + của châu Âu: 1 học kỳ tại một ĐH của Italia hoặc của một nước trong khu vực cộng đồng chung Châu Âu.
- Chương trình trao đổi tự túc (1 học kỳ, hoặc 1 năm học), có hỗ trợ học phí, với các trường ĐH tại Italia.""",https://hanu.edu.vn/c/6914/Ngon-ngu-Anh,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Anh,"""Hoạt động hướng nghiệp và việc làm""","""- Nhiều hoạt động hướng nghiệp phong phú: tuần lễ hướng nghiệp, hội chợ việc làm, lớp tập huấn kỹ năng mềm, kỹ năng tìm kiếm việc làm; thực tập tại các cơ quan, tổ chức, doanh nghiệp.
- Vị trí việc làm: biên dịch, phiên dịch, giáo viên tiếng Anh, cán bộ hợp tác quốc tế, hướng dẫn viên du lịch, trợ lý dự án, phóng viên, biên tập viên báo chí, truyền hình, đài phát thanh. dạy ngoại ngữ, hợp tác quốc tế, du lịch, truyền thông, v.v.
- Nơi công tác: các Đại sứ quán và văn phòng đại diện nước ngoài; các doanh nghiệp cần sử dụng tiếng Anh; các cơ quan, tổ chức trong nước có bộ phận đối ngoại; các trường phổ thông và trường cao đẳng, đại học; báo chí, đài phát thanh, đài truyền hình; các công ty dịch vụ du lịch và lữ hành, v.v.""",https://hanu.edu.vn/c/6914/Ngon-ngu-Anh,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Anh,"""Nội dung chương trình đào tạo - Giới thiệu chung""","""Thời gian đào tạo: 04 năm; Ngôn ngữ giảng dạy: Tiếng Anh; Định hướng Biên-Phiên dịch: 154 tín chỉ; Định hướng Phương pháp giảng dạy tiếng Anh: 154 tín chỉ""",https://hanu.edu.vn/c/6914/Ngon-ngu-Anh,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Anh,"""Nội dung chương trình đào tạo - Khối kiến thức chung""","""Khối kiến thức chung: 43 tín chỉ (TC)
Cung cấp kiến thức chung mà sinh viên các chương trình đại học cần biết: Triết học Mác - Lê-nin (03 TC), Kinh tế chính trị Mác - Lê-nin (02 TC), Chủ nghĩa xã hội khoa học (02 TC), Tư tưởng Hồ Chí Minh (02 TC), Lịch sử Đảng CSVN (02 TC), Pháp luật đại cương (02 TC), ứng dụng CNTT (03 TC), Ngoại ngữ 2 (14 TC), Phương pháp học tập tiếng Anh (02 TC), Giáo dục Thể chất (03 TC), Giáo dục Quốc phòng (08 TC).""",https://hanu.edu.vn/c/6914/Ngon-ngu-Anh,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Anh,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""Khối kiến thức cơ sở ngành: 12 tín chỉ (TC)
1. Bắt buộc: 8 TC
-	Nhập môn Việt ngữ học: 2 TC	
-	Cơ sở văn hóa Việt Nam: 2 TC
-	Dẫn luận ngôn ngữ học: 2 TC	
-	Phương pháp nghiên cứu khoa học: 2 TC
2. Tự chọn: 4 TC - Chọn 4 trong số 10 tín chỉ của các học phần sau:
-	Tiếng Việt trong hành chức: 02 TC 
-	Hà Nội học (02 TC)
-	Văn bản tiếng Việt: 02 TC	
-	Dụng học Việt ngữ (02 TC)
-	Lịch sử văn minh thế giới (02 TC)""",https://hanu.edu.vn/c/6914/Ngon-ngu-Anh,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Anh,"""Nội dung chương trình đào tạo - Khối kiến thức ngành""","""Khối kiến thức ngành: 66 tín chỉ (TC)
1. Bắt buộc: 60 TC
-	Thực hành tiếng từ trình độ A2 đến C1: 40 TC
-	Ngữ âm - Âm vị học tiếng Anh: 3 TC
-	Từ vựng học tiếng Anh: 3 TC
-	Ngữ pháp học tiếng Anh: 6 TC
-	Ngôn ngữ học đối chiếu: 2 TC
-	Văn hóa các nước nói tiếng Anh: 3 TC
-	Văn học các nước nói tiếng Anh: 3 TC
2. Tự chọn: 06 TC - Chọn 6 trong số 10 tín chỉ của các học phần sau:
-	Phân tích diễn ngôn: 2TC
-	Ngôn ngữ học xã hội: 2TC
-	Nhập môn Ngôn ngữ học: 2TC
-	Chuyên đề giao tiếp liên văn hóa: 2TC
-	Chuyên đề văn học Mỹ: 2TC""",https://hanu.edu.vn/c/6914/Ngon-ngu-Anh,
