Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Quốc tế học,Thông tin chung,"""KHOA QUỐC TẾ HỌC
Địa chỉ: Phòng 204 - Nhà C
Điện thoại: (84.4) 35 53 53 63
Fax: (84.4) 38 54 45 50    
E-mail:  fis@hanu.vn; 
Website: http://fis.hanu.vn
Facebook: www.facebook.com/FISHANU/""",https://hanu.edu.vn/c/7931/Quoc-te-hoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Quốc tế học,"""Hợp tác quốc tế, học trao đổi tại nước ngoài""","""- Chương trình giao lưu với Đại học UCD (Ai-len), Westminster (Anh);
- Chương trình trao đổi sinh viên 01 kỳ hoặc 01 năm với ĐH Gothenburg (Thụy Điển), ĐH University College of Dublin (Ireland), Đại học Chinan (Đài Loan) và nhiều trường Đại học của Ý;
- Chương trình bằng kép với Đại học Trento (Ý);
- Chương trình hợp tác với Đại sứ quán Ai-len về nâng cao năng lực nghiên cứu và trao đổi học thuật.""",https://hanu.edu.vn/c/7931/Quoc-te-hoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Quốc tế học,"""Giảng viên, chuyên gia và doanh nghiệp cùng giảng dạy""","""- 100% giảng viên được đào tạo tại nước ngoài từ các nước Mỹ, Úc, Đức, Hà Lan, Anh, Pháp, Ý, Bỉ, Thái Lan… và tham gia tích cực  trong các chương trình/dự án Nghiên cứu và phát triển trong nước và quốc tế;
- Giảng dạy chuyên ngành: 18 giảng viên cơ hữu trình độ Tiến sĩ và Thạc sĩ, cùng các chuyên gia về Nghiên cứu phát triển là doanh nhân hoặc giảng viên các cơ sở đào tạo và nghiên cứu có uy tín của Việt Nam, Anh, Úc, Mỹ, Ý, Thụy Điển, Ailen...
- Các giảng viên/chuyên gia thỉnh giảng từ Mỹ, Châu Âu và các cơ quan uy tín trong nước.""",https://hanu.edu.vn/c/7931/Quoc-te-hoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Quốc tế học,Sinh viên và học bổng,"""- Gần 500 sinh viên đang theo học tại Khoa bao gồm cả sinh viên nước ngoài (Thụy Điển, Ý, Nhật, Hàn Quốc, Venezuela, Ukraine…);
- Sinh viên năng động, tự tin, hội nhập đa văn hoá tốt, chủ động tìm kiếm và tham gia nhiều chương trình ngoại khóa: từ thiện, câu lạc bộ, giao lưu hoặc trao đổi sinh viên với các trường ĐH trong và ngoài nước;
- Ngoài các học bổng toàn phần và bán phần của nhà trường dành cho sinh viên học giỏi và sinh viên thuộc diện chính sách, sinh viên có thể nhận được học bổng từ các tổ chức, doanh nghiệp, chương trình trao đổi sinh viên của Châu Âu như Erasmus+.""- 100% giảng viên được đào tạo tại nước ngoài từ các nước Mỹ, Úc, Đức, Hà Lan, Anh, Pháp, Ý, Bỉ, Thái Lan… và tham gia tích cực  trong các chương trình/dự án Nghiên cứu và phát triển trong nước và quốc tế;
- Giảng dạy chuyên ngành: 18 giảng viên cơ hữu trình độ Tiến sĩ và Thạc sĩ, cùng các chuyên gia về Nghiên cứu phát triển là doanh nhân hoặc giảng viên các cơ sở đào tạo và nghiên cứu có uy tín của Việt Nam, Anh, Úc, Mỹ, Ý, Thụy Điển, Ailen...
- Các giảng viên/chuyên gia thỉnh giảng từ Mỹ, Châu Âu và các cơ quan uy tín trong nước.""",https://hanu.edu.vn/c/7931/Quoc-te-hoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Quốc tế học,Việc làm,"""- Trong quá trình học, sinh viên được tham gia các khóa tập huấn kỹ năng mềm, kỹ năng tìm kiếm việc làm do trường và Khoa tổ chức.
- Sinh viên được tham gia các chương trình kiến tập, thực tập; có cơ hội tham gia các dự án phát triển cộng đồng quốc tế cùng với các bạn sinh viên nước ngoài.
Sau khi hoàn thành CTĐT trình độ đại học ngành Quốc tế học, người học có thể đảm nhận vị trí việc làm sau:
1. Công chức/viên chức/chuyên viên/nhân viên
- Công chức, viên chức làm việc trong các cơ quan quản lý nhà nước và sự nghiệp của Việt Nam;
- Chuyên viên, nhân viên làm việc trong các cơ quan phát triển, các tổ chức quốc tế, Đại sứ quán và các tổ chức phi chính phủ;
- Nhân viên kinh doanh, truyền thông, hành chính, đối ngoại trong các công ty tư nhân hoặc các công ty/tập đoàn đa quốc gia.
2. Điều phối viên/cán bộ chương trình
Điều phối viên/cán bộ chương trình làm việc trong các tổ chức phi chính phủ, doanh nghiệp xã hội và các tổ chức nghề nghiệp.
3. Nghiên cứu viên
Nghiên cứu viên làm việc tại các cơ sở đào tạo và nghiên cứu về khoa học xã hội và khoa học liên ngành.""",https://hanu.edu.vn/c/7931/Quoc-te-hoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Quốc tế học,"""Nội dung chương trình đào tạo - Thông tin chung""","""Thời gian đào tạo: 04 năm 
Tổng số tín chỉ: 147 tín chỉ
Chương trình giảng dạy bằng Tiếng Anh""",https://hanu.edu.vn/c/7931/Quoc-te-hoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Quốc tế học,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""KHỐI KIẾN THỨC GIÁO DỤC ĐẠI CƯƠNG: 72 tín chỉ (TC)
Cung cấp kiến thức chung mà sinh viên các chương trình đại học cần biết: Triết học Mác - Lê-nin (3T), Kinh tế chính trị Mác - Lê-nin (2TC), Chủ nghĩa xã hội khoa học (2TC), Tư tưởng Hồ chí Minh (2TC), Lịch sử Đảng CSVN (2TC), Pháp luật đại cương (2TC), Ứng dụng công nghệ thông tin (3TC), Giáo dục Thẻ chất (3TC), Giáo dục Quốc phòng-An ninh (8TC), Lược sử văn hóa Việt Nam (3TC), Thực hành tiếng Anh từ trình độ A2 đến B2 (42TC).""",https://hanu.edu.vn/c/7931/Quoc-te-hoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Quốc tế học,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""KHỐI KIỀN THỨC CƠ SỞ NGÀNH: 34 tín chỉ (TC)
Cung cấp kiến thức nền tảng để học ngành truyền thông và các định hướng nghề nghiệp liên quan:
1. Bắt buộc: 31 TC
- Kinh tế vi mô: 3TC 
- Giao tiếp liên văn hoá: 3TC  
- Xã hội học đại cương: 3TC
- Kinh tế vĩ mô: 3TC 
- Nhân học văn hoá: 3TC 
- Chính sách công đại cương: 3TC
- Lịch sử thế giới: 3TC 
- Toàn cầu hóa:3TC 
- Phương pháp nghiên cứu: +TC
- Chính trị học so sánh: 3TC
2. Tự chọn: 3 TC - Chọn 3 TC trong số 8 TC sau:
- Nghiên cứu châu Âu: 3TC 
- Nghiên cứu châu Á: 3TC""",https://hanu.edu.vn/c/7931/Quoc-te-hoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Quốc tế học,"""Nội dung chương trình đào tạo - Khối kiến thức theo ngành""","""KHỐI KIẾN THỨC NGÀNH: 31 tín chỉ (TC)
1. Bắt buộc: 22 TC 
- Kinh tế quốc tế: 3 TC 
- Quan hệ Quốc tế: 3 TC 
- Quản lý môi trường và biến đối khí hậu: 4 TC 
- Kinh tế phát triển: 3'TC 
- Chính sách đối ngoại Việt Nam: 3 TC 
- Luật quốc tế: 3 TC 
- Quản lý dự án: 3 TC
2. Tự chọn: 9 TC - Chọn 9 TC của một trong bốn định hướng:
- Quan hệ quốc tế: 9 TC
- Kinh tế quốc tế: 9 TC
- Nghiên cứu phát triển: 9 TC
- Chính sách công: 9 TC""",https://hanu.edu.vn/c/7931/Quoc-te-hoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Quốc tế học,"""Nội dung chương trình đào tạo - Khối kiến thức chuyên ngành""","""KHỐI KIẾN THỨC CHUYÊN NGÀNH:
1. Định hướng Quan hệ quốc tế (09 tín chỉ)
Chọn 3 trong số 6 học phần sau:
- Phân tích chính sách đối ngoại: 3 TC 
- Dự án thực địa: 3 TC
- Các học thuyết chính trị: 3 TC 
- Chính trị và phát triển: 3 TC
- Chính sách đối ngoại Mỹ: 3 TC 
- Kinh doanh Quốc tế: 3 TC
2. Định hướng Kinh tế quốc tế (09 tín chỉ)
Chọn 3 trong số 6 học phần sau:
- Tài chính quốc tế: 3 TC 
- Giao tiếp kinh doanh: 3 TC
- Kinh doanh quốc tế: 3 TC 
- Quan hệ lao động: 3 TC
- Trách nhiệm xã hội doanh nghiệp: 3 TC 
- Tài chính công: 3 TC
3. Định hướng Nghiên cứu phát triển (09 tín chỉ)
Chọn 3 trong số 8 học phần sau:
- Quản trị công: 3 TC
- Nhân quyên và chính sách quốc gia: 3 TC
- Giới và phát triển: 3 TC 
- Dự án thực địa: 3 TC
- Phát triển cộng đồng: 3 TC 
- Hệ thống thông tin địa lý: 3 TC
- Xã hội dân sự: 3 TC 
- Chính sách phái triển: 3 TC
4. Định hướng Chính sách công (09 TC)
Chọn 3 trong số 5 học phần sau:
- Quản trị oông: 3 TC 
- Dự án thực địa: 3 TC
- Phân tích chính sách công: 3 TC 
- Chính sách phát triển: 3 TC
- Tài chính công: 3 TC""",https://hanu.edu.vn/c/7931/Quoc-te-hoc,
