Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nhật,Thông tin liên hệ,"""KHOA TIẾNG NHẬT
Địa chỉ:     Phòng 305 & 307 - Nhà C
Điện thoại:    (84.4) 38 54 57 96
Fax:         (84.4) 38 54 45 50
E-mail:     khoanhat@hanu.edu.vn
Website:     http://web.hanu.vn/jp 
Facebook:    https://www.facebook.com/khoatiengnhathanu/""",https://hanu.edu.vn/c/7914/Ngon-ngu-Nhat,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nhật,Chương trình và hệ đào tạo,"""- Cử nhân Ngôn ngữ Nhật hệ chính quy (định hướng Biên - Phiên dịch, Phương pháp giảng dạy tiếng Nhật và Tiếng Nhật thương mại);
- Cử nhân Ngôn ngữ Nhật hệ Vừa làm Vừa học;
- Cử nhân Ngôn ngữ Nhật hệ từ xa;
- Thạc sĩ Ngôn ngữ Nhật (trong đó có 1 chương trình liên kết với Nhật).""",https://hanu.edu.vn/c/7914/Ngon-ngu-Nhat,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nhật,Giảng viên,"""- 27 giảng viên cơ hữu (07 tiến sĩ, 18 thạc sĩ, 02 cử nhân); 10 giáo viên thỉnh giảng, 02 giáo viên tình nguyện người Nhật;
- Tất cả giảng viên đều được đào tạo chính quy dài hạn hoặc ngắn hạn tại Nhật Bản, nhiệt tình, tận tụy.""",https://hanu.edu.vn/c/7914/Ngon-ngu-Nhat,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nhật,Sinh viên,"""- Hơn 1.000 sinh viên theo học các chương trình đào tạo chính quy, vừa làm vừa học, ngoại ngữ 2 tiếng Nhật;
- Sinh viên tham gia nhiều hoạt động tình nguyện vì cộng đồng, văn hoá, văn nghệ và các câu lạc bộ phong phú: Chương trình Yokoso chào đón tân sinh viên, Tuần lễ văn hóa Nhật Bản, Tiếp sức mùa thi, Tình nguyện mùa hè xanh, CLB tiếng Nhật (J club), CLB múa Yosakoi, Chương trình giới thiệu khăn gói quà Furoshiki, lớp học diễn kịch Nhật Bản...;
- Sinh viên đạt giải cao tại các cuộc thi hùng biện tiếng Nhật như: Nasic Cup (tiền thân là Kitazawa Cup) (giải Đặc biệt năm 2014, 2015, 2017 và 2019); Hosei Cup (giải Nhất các năm 2016, 2017, 2020 và 2021), Lễ hội tiếng Nhật thường niên do Trung tâm Giao lưu Văn hóa Nhật Bản tại Việt Nam tổ chức (giải Ba năm 2014);
- Sinh viên tham gia nghiên cứu khoa học và đạt nhiều giải Tài năng NCKH trẻ của Trường và của Bộ GD&ĐT.""",,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nhật,"""Học bổng, học chuyển tiếp tại Nhật Bản""","""- Khoa tiếng Nhật hợp tác chặt chẽ với Đại sứ quán Nhật Bản, Trung tâm Giao lưu văn hóa Nhật Bản tại Việt Nam và hơn 50 trường đại học của Nhật Bản: ĐH Utsunomiya, ĐH Osaka, ĐH Quốc tế Osaka, ĐH Ngoại ngữ Kanda, ĐH Nữ sinh Nara, ĐH Nữ sinh Ochanomizu, ĐH Kanazawa, ĐH Meiji, ĐH Ngoại ngữ Kyoto, ĐH Ryukoku, ĐH Musashino...;
- Mỗi năm Khoa có khoảng 40 sinh viên học trao đổi, chuyển tiếp tại Nhật Bản theo các chương trình học bổng của chính phủ Nhật Bản (MEXT), của hãng hàng không Japan Airline và học bổng trao đổi song phương với các trường đối tác;
- Trường ĐH Hà Nội cấp học bổng toàn phần, bán phần cho sinh viên học giỏi; sinh viên thuộc diện chính sách được miễn, giảm học phí.""",https://hanu.edu.vn/c/7914/Ngon-ngu-Nhat,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nhật,Việc làm,"""- Nhiều hoạt động hướng nghiệp trong 4 năm học: khóa học nhập môn kế toán bằng tiếng Nhật (I, II, III); ngày hội hướng nghiệp do tổ chức Quest Career của Nhật Bản tổ chức; các khoá học kỹ năng mềm, kỹ năng tìm việc, thực tập tại doanh nghiệp;
- 100% sinh viên tốt nghiệp có việc làm ngay năm đầu tiên sau khi ra Trường;
- Các vị trí công việc phù hợp với chuyên ngành đào tạo: biên - phiên dịch, thư ký, trợ lí giám đốc tại các công ty, văn phòng đại diện các công ty Nhật Bản tại Việt Nam; giảng viên các trường đại học, cao đẳng, các trung tâm tiếng Nhật; nhân viên đối ngoại tại các tổ chức phi chính phủ, các cơ quan ngoại giao Việt Nam và Nhật Bản...""",https://hanu.edu.vn/c/7914/Ngon-ngu-Nhat,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nhật,"""Nội dung chương trình đào tạo - Thông tin chung""","""04 năm, giảng dạy bằng tiếng Nhật
Định hướng Biên - Phiên dịch: 154 tín chỉ 
Định hướng tiếng Nhật Thương mại: 154 tín chỉ 
Định hướng Phương pháp giảng dạy tiếng Nhật: 154 tín chỉ""",https://hanu.edu.vn/c/7914/Ngon-ngu-Nhat,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nhật,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""KHỐI KIẾN THỨC CHUNG: 43 tín chỉ (TC)
Cung cấp kiến thức chung mà sinh viên các chương trình đại học cần biết: Triết học Mác - Lê-nin, Kinh tế chính trị Mác - Lê-nin, Chủ nghĩa xã hội khoa học, Tư tưởng Hồ Chí Minh, Lịch sử Đảng CSVN, Pháp luật đại cương, Ứng dụng công nghệ thông tin, Ngoại ngữ 2, Phương pháp học tập và nghiên cứu khoa học, Giáo dục Thể chất, Giáo dục Quốc phòng.""",https://hanu.edu.vn/c/7914/Ngon-ngu-Nhat,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nhật,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""KHỐI KIẾN THỨC CƠ SỞ NGÀNH: 10 tín chỉ (TC)
1. Bắt buộc 06 TC 
-	Dẫn luận Ngôn ngữ học
-	Nhập môn Việt ngữ học
-	Cơ sở Văn hóa Việt Nam
2. Tự chọn 04TC – Chọn 4 trong số 10 TC của các học phần sau:
-	Tiếng Việt trong hành chức
-	Văn bản Tiếng Việt
-	Lịch sử văn minh thế giới
-	Hà Nội học
-	Dụng học Việt ngữ""",https://hanu.edu.vn/c/7914/Ngon-ngu-Nhat,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nhật,"""Nội dung chương trình đào tạo - Khối kiến thức ngành""","""KHỐI KIẾN THỨC NGÀNH: 64 tín chỉ (TC)
1. Bắt buộc: 60 TC 
-	Thực hành tiếng từ trình độ A1 đến C1: 49 TC 
-	Nhập môn Nhật ngữ học: 3 TC 
-	Đối chiếu ngôn ngữ Nhật - Việt: 2 TC
-	Đất nước và Văn hóa Nhật Bản: 3 TC
-	Văn học Nhật Bản: 3 TC
2. Tự chọn: 4 TC - Chọn 4 trong số 12 tín chỉ của các học phần sau: Ngôn ngữ và giao tiếp, Giao tiếp liên văn hóa, Tiếng Nhật văn phòng, Tiếng Nhật du lịch, Văn học Nhật Bản đương đại, Văn hóa giới trẻ Nhật Bản. """,https://hanu.edu.vn/c/7914/Ngon-ngu-Nhat,
