Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc,Thông tin liên hệ,"""KHOA TIẾNG HÀN QUỐC
Địa chỉ:  Phòng 301 - Nhà C
Điện thoại:  (84.24) 35 54 19 38 hoặc (84.24) 38 54 43 38; số máy lẻ 3301 & 3302
Fax:  (84.24) 38 54 45 50
E-mail: tuyensinhkoreanhanu@gmail.com
Website:  http://web.hanu.vn/kr
Facebook:  Khoa tiếng  Hàn Quốc Hanu
Mobile:  Ms Ngoãn 096.580.0858 Ms Thu Ngân 0169.855.2645""",https://hanu.edu.vn/c/7915/Ngon-ngu-Han-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc,Chương trình đào tạo,"""- Cử nhân Ngôn ngữ Hàn Quốc hệ chính quy định hướng Biên - Phiên dịch, định hướng Du lịch;
- Cử nhân Ngôn ngữ Hàn Quốc hệ Vừa làm vừa học định hướng Biên - Phiên dịch.""",https://hanu.edu.vn/c/7915/Ngon-ngu-Han-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc,Giảng viên,"""- Gần 30 cán bộ, giảng viên người Việt Nam, 10 chuyên gia, giảng viên mời giảng người Hàn Quốc;
- Giáo viên có trình độ Thạc sĩ và Tiến sĩ, được đào tạo tại Hàn Quốc, nhiệt tình trong công tác giảng dạy và tích cực tham gia các hoạt động nghiên cứu khoa học.""",https://hanu.edu.vn/c/7915/Ngon-ngu-Han-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc,Sinh viên,"""- Hơn 800 sinh viên các chương trình và hệ đào tạo: chính quy, vừa làm vừa học, ngoại ngữ 2, học cùng lúc 2 chương trình.
- Ngoài các trang thiết bị chung của toàn trường, sinh viên khoa tiếng Hàn còn được học tập với hệ thống phòng học, trang thiết bị riêng:
+ 01 phòng học trực tuyến với các môn học do giáo sư từ các trường Đại học Hàn Quốc giảng dạy;
+ 01 thư viện riêng, 01 phòng đọc Korea Corner với nhiều tài liệu và băng đĩa cho sinh viên tự học, nghiên cứu, tìm hiểu về văn hoá và đất nước Hàn Quốc;
+ 01 Trung tâm văn hóa Hàn Quốc để tổ chức các hoạt động quảng bá văn hóa, giảng dạy ngôn ngữ, cung cấp các thông tin của trường Đại học ở Hàn Quốc và các cơ hội du học…
- Nhiều hoạt động thường niên như: Chào mừng tân sinh viên, Tuần lễ Văn hóa Hàn Quốc, Ngày hội Hangeulnal, Nghiên cứu khoa học sinh viên, Du lịch Khoa MT, Tiếp sức mùa thi, Mùa hè xanh và các câu lạc bộ…;
- Sinh viên có cơ hội tham gia và giành nhiều giải thưởng tại cuộc thi dành cho sinh viên học tiếng Hàn toàn quốc và trên thế giới như: Cuộc thi nói tiếng Hàn Quốc, thi hát tiếng Hàn Quốc, thi viết bài luận tiếng Hàn Quốc, thi Quiz on Korea, thi cảm nhận văn học Hàn Quốc…;""",https://hanu.edu.vn/c/7915/Ngon-ngu-Han-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc,"""Học bổng, học chuyển tiếp tại Hàn Quốc""","""- Học bổng toàn phần hoặc bán phần của Trường ĐH Hà Nội cho các sinh viên học giỏi; miễn, giảm học phí cho các sinh viên thuộc diện chính sách;
- Học bổng thường niên của các tập đoàn lớn của Hàn Quốc như tập đoàn Samsung, Lotte, LG, Hyundai Aluminum, Dongbu, IEN, Hite Jinro…;
- Sinh viên có cơ hội đi học trao đổi 01 kỳ, 01 năm hoặc chuyển hẳn sang học đại học tại các trường đại học danh tiếng như: ĐH Seoul, ĐH Kyunghee, ĐH Aju, ĐH Chung-Ang, ĐH Konkuk, ĐH Kookmin, ĐH Deagu, ĐH Deagu Hanny, ĐH Sejong, ĐH Ehwa, ĐH Deajeon, ĐH nữ sinh Sook myung, ĐH Ngoại ngữ Hàn Quốc…;
- Khoa hợp tác chặt chẽ với Đại sứ quán Hàn Quốc, Quỹ giao lưu văn hóa Hàn Quốc, Trung tâm văn hóa Hàn Quốc tại Việt Nam để tổ chức các hoạt động và tìm kiếm học bổng cho sinh viên.""",https://hanu.edu.vn/c/7915/Ngon-ngu-Han-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc,Việc làm,"""Sinh viên tốt nghiệp có thể làm việc ở nhiều vị trí công việc khác nhau:
VT1: Biên - Phiên dịch viên/Biên tập viên
- Biên – phiên dịch làm việc cho các cá nhân, tổ chức nhà nước hoặc tư nhân trong các lĩnh vực như ngoại giao, kinh tế, giáo dục, du lịch, xã hội.
- Cộng tác viên (dịch công chứng) tại các văn phòng công chứng nhà nước và tư nhân.
- Biên dịch/biên tập tại các nhà xuất bản có các ấn phẩm dịch từ tiếng Hàn Quốc và ngược lại.
- Biên dịch/biên tập tại các tòa soạn, đài truyền hình.
VT2: Nhân viên văn phòng/Trợ lý đối ngoại
- Chuyên viên/nhân viên cho các cơ quan, tổ chức nhà nước hoặc tư nhân, phụ trách hỗ trợ các công việc liên quan đến đối ngoại, quản lý quan hệ doanh nghiệp, xuất – nhập khẩu, đàm phán, ký kết, theo dõi thực hiện hợp đồng, quản lý dự án và marketing.
- Chuyên viên/nhân viên thực hiện công tác lập kế hoạch, chương trình đón tiếp khách quốc tế.
VT3: Giáo viên tiếng Hàn/Nghiên cứu viên
- Giáo viên giảng dạy tiếng Hàn.
- Nghiên cứu viên tại các cơ sở đào tạo và nghiên cứu về Ngôn ngữ và Văn hóa Hàn Quốc trong và ngoài nước.
VT4: Nhân viên ngành Du lịch
- Nhân viên tại các đại lý, công ty du lịch, công ty lữ hành.
- Hướng dẫn viên du lịch, nhân viên chăm sóc khách hàng.""",https://hanu.edu.vn/c/7915/Ngon-ngu-Han-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc,"""Nội dung chương trình đào tạo - Thông tin chung""","""Thời gian đào tạo: 04 năm 
Ngôn ngữ giảng dạy: Tiếng Hàn Quốc 
Định hướng Biên-Phiên dịch: 154 tín chỉ 
Định hướng Du lịch: 154 tín chỉ""",https://hanu.edu.vn/c/7915/Ngon-ngu-Han-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""KHỐI KIÊN THỨC GIÁO DỤC ĐẠI CƯƠNG: 41 tín chỉ (TC) Cung cấp kiến thức chung mà sinh viên các chương trình đại học cần biết: Triết học Mác - Lê-nin (3TC), Kinh tế chính trị Mác - Lê-nin (2TC), Chủ nghĩa xã hội khoa học (2TC), Tư tưởng Hồ Chí Minh (2TC), Lịch sử Đảng CSVN (2TC), Pháp luật đại cương (2TC), Ứng dụng công nghệ thông tin (3TC), Ngoại ngữ 2 (14TC), Giáo dục Thể chất (3TC), Giáo dục Quốc phòng (8TC).""",https://hanu.edu.vn/c/7915/Ngon-ngu-Han-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""KHỐI KIỀN THỨC CƠ SỞ NGÀNH: 10 tín chỉ (TC) 
1. Bắt buộc: 6 TC
- Nhập môn Việt ngữ học: 2 TC
- Dẫn luận ngôn ngữ học: 2 TC
- Cơ sở văn hóa Việt Nam: 2 TC
2. Tự chọn: 4 TC - Chọn 4 trong số 10 tín chỉ của các học phần sau: 
- Tiếng Việt trong hành chức (2TC)
- Văn bản tiếng Việt (2TC) 
- Lịch sử văn minh thế giới (2TC)
- Hà Nội học (2TC)
- Dụng học Việt ngữ (2TC).""",https://hanu.edu.vn/c/7915/Ngon-ngu-Han-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc,"""Nội dung chương trình đào tạo - Khối kiến thức ngành""","""KHỐI KIỀN THỨC NGÀNH: 66 tín chỉ (TC)
1. Bắt buộc: 62 TC
- Thực hành tiếng từ trình độ A1 đến C1: 49 TC
- Phương pháp nghiên cứu khoa học: 2 TC
- Ngữ pháp học tiếng Hàn: 3 TC
- Lý thuyết tiếng: 2 TC
- Ngôn ngữ học đối chiếu: 2 TC
- Đất nước học: 2 TC
- Văn học Hàn Quốc: 2 TC
2. Tự chọn: 04 TC - Chọn 4 trong số 10 tín chỉ của các học phần sau:
- Tiếng Hàn kinh tế: 2 TC
- Tiếng Hàn du lịch cơ bản: 2 TC
- Thư tín tiếng Hàn: 2 TC
- Quan hệ Việt-Hàn: 2 TC
- Kinh tế Hàn Quốc và người tiêu dùng: 2 TC""",https://hanu.edu.vn/c/7915/Ngon-ngu-Han-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc,"""Nội dung chương trình đào tạo - Khối kiến thức chuyên ngành""","""KHỐI KIẾN THỨC CHUYÊN NGÀNH:
Định hướng Biên - Phiên dịch (28 tín chỉ) 
Bắt buộc: 22 TC 
- Nhập môn Biên - Phiên dịch: 2 TC 
- Phiên dịch cơ bản, trung cấp, nâng cao: 9 TC 
- Biên dịch cơ bản, trung cáp, nâng cao: 9TC 
- Dịch chuyên ngành: 2 TC 
Tự chọn: 06 TC - Chọn 6 trong số 12 tín chỉ của các học phần sau: Phân tích đánh giá bản dịch (2TC), Dịch chuyên đề Báo chí (2TC), Dịch chuyên đề Kinh tế - Thương mại (2TC), Dịch chuyên đề Du lịch (2TC), Dịch chuyên đề Văn hóa - Xã hội (2TC), Dịch chuyên đề Pháp luật (2TC).
Du lịch (28 tín chỉ) 
Bắt buộc: 22 TC 
- Tổng quan Du lịch: 3 TC 
- Tiếng Hàn khách sạn: 3 TC 
- Văn hóa và du lịch: 3 TC 
- Tiếng Hàn cơ bản dành cho hướng dẫn viên: 3 TC 
- Tiếng Hàn du lịch nâng cao: 4 TC 
- Tiếng Hàn nâng cao dành cho hướng dẫn viên: 3 TC 
- Tiếng Hàn thương mại: 3 TC 
Tự chọn: 06 TC - Chọn 6 trong số 12 tín chỉ của các học phần sau: Nhập môn Biên - Phiên dịch (2TC); Dịch chuyên đề Du lịch (2TC); Văn hóa âm thực Hàn Quốc (2TC) ; Dịch chuyên đề Văn hóa - Xã hội (2TC); Dịch chuyên đề Kinh tế - Thương mại (2TC); Xây dựng sản phẩm du lịch (2TC).""",https://hanu.edu.vn/c/7915/Ngon-ngu-Han-Quoc,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Hàn Quốc,"""Nội dung chương trình đào tạo - Thực tập và khóa luận tốt nghiệp""","""THỰC TẬP VÀ KHÓA LUẬN TỐT NGHIỆP: 9 tín chỉ (TC)
- Thực tập: 3 TC 
- Khóa luận tốt nghiệp: 6 TC hoặc các học phần thay thế (Soạn thảo văn bản tiếng Hàn, Dịch chuyên sâu).""",https://hanu.edu.vn/c/7915/Ngon-ngu-Han-Quoc,
