Title,Summary,Content,URL,Contributor
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nga,Thông tin liên hệ,"""KHOA TIẾNG NGA
Địa chỉ:    Phòng 311 - Nhà C
Điện thoại:    (84.24) 3854 79 11        
E-mail:     khoanga@hanu.edu.vn
Website:    http://web.hanu.vn/ru/""",https://hanu.edu.vn/c/6915/Ngon-ngu-Nga,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nga,Trình độ đào tạo,"""- Cử nhân Ngôn ngữ Nga""",https://hanu.edu.vn/c/6915/Ngon-ngu-Nga,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nga,Giảng viên,"""- 14 giảng viên cơ hữu. 
- 100% giảng viên được đào tạo tại Liên bang Nga, 01 Phó Giáo sư - Tiến sĩ, 08 Tiến sĩ, 05 Thạc sĩ.""",https://hanu.edu.vn/c/6915/Ngon-ngu-Nga,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nga,Sinh viên và học bổng,"""- 12 lớp, hơn 350 sinh viên;
- Sinh viên nhiệt tình tham gia các hoạt động giao lưu, cuộc thi tài năng, dự án: Lễ Chào đón tân sinh viên, Tuần lễ văn hóa Nga, dự án “Tiếng Nga vì cộng đồng”, cuộc thi “Hoa khôi sinh viên – Glorious HANU”, Mùa hè xanh…;
- Sinh viên giành được nhiều giải thưởng Sinh viên Nghiên cứu khoa học, Tài năng KH trẻ của Bộ GD&ĐT và Trường ĐH Hà Nội;
- 15 đến 20 suất học bổng toàn phần qua cuộc thi Olympic tiếng Nga và học bổng của Chính phủ Nga hoặc Việt Nam để đi du học tại các trường ĐH tại Liên bang Nga;
- Các học bổng khác của Trường ĐH Hà Nội, Sinh viên nghèo vượt khó...""",https://hanu.edu.vn/c/6915/Ngon-ngu-Nga,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nga,Hợp tác quốc tế,"""Quan hệ hợp tác chặt chẽ, thường xuyên trao đổi sinh viên với các trường đại học của Liên bang Nga: Viện tiếng Nga Quốc gia mang tên A.X.Pushkin, trường Đại học tổng hợp quốc gia Tomsk, trường Đại học tổng hợp quốc gia Ural…""",https://hanu.edu.vn/c/6915/Ngon-ngu-Nga,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nga,Việc làm,"""· Vị trí công việc:
Sau khi tốt nghiệp CTĐT trình độ đại học ngành Ngôn ngữ Nga, người học có thể đảm nhận những vị trí việc làm sau:
Nhóm 1. Biên - Phiên dịch viên/Biên tập viên/Phóng viên:
- Làm biên - phiên dịch viên cho các cá nhân, tổ chức nhà nước hoặc tư nhân trong các lĩnh vực thuộc chuyên môn đào tạo;
- Làm cộng tác viên (dịch công chứng) tại các văn phòng công chứng nhà nước và tư nhân;
- Làm biên tập viên/biên dịch viên tại các nhà xuất bản có xuất bản phẩm là tiếng Nga;
Nhóm 2. Thư ký văn phòng/Trợ lý đối ngoại/Trợ lý dự án:
- Làm chuyên viên/nhân viên cho các cơ quan, tổ chức nhà nước hoặc tư nhân, phụ trách công việc liên quan đến đối ngoại, quản lý quan hệ doanh nghiệp, xuất - nhập khẩu, đàm phán, ký kết, theo dõi thực hiện hợp đồng; quản lý dự án và marketing;
- Làm trợ lý dự án tại các cơ quan, tổ chức có hoạt động liên quan đến Liên bang Nga.
Nhóm 3. Nhân viên ngành Du lịch & Lữ hành:
- Hướng dẫn viên du lịch, nhân viên kinh doanh, nhân viên điều hành tour, nhân viên chăm sóc khách hàng tại văn phòng, đại lý, công ty du lịch – lữ hành.
- Đơn vị sử dụng lao động: các cơ quan ngoại giao, văn phòng đại diện nước ngoài của Nga và Việt Nam, báo chí, đài phát thanh, đài truyền hình, tập đoàn, công ty du lịch, trường cao đẳng và đại học, viện nghiên cứu ngôn ngữ, trung tâm ngoại ngữ.""",https://hanu.edu.vn/c/6915/Ngon-ngu-Nga,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nga,"""Nội dung chương trình đào tạo - Thông tin chung""","""Thời gian đào tạo: 04 năm
Định hướng Biên-Phiên dịch: 154 tín chỉ
Ngôn ngữ giảng dạy: Tiếng Nga
Định hướng Du lịch: 154 tín chỉ""",https://hanu.edu.vn/c/6915/Ngon-ngu-Nga,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nga,"""Nội dung chương trình đào tạo - Khối kiến thức giáo dục đại cương""","""1.	KHỐI KIẾN THỨC GIÁO DỤC ĐẠI CƯƠNG: 41 tín chỉ (TC)
Cung cấp kiến thức chung mà sinh viên các chương trình đại học cần biết: Triết học Mác - Lê-nin (3TC), Kinh tế chính trị Mác - Lê-nin (2TC), Chủ nghĩa xã hội khoa học (2TC), Tư tưởng Hồ Chí Minh (2TC), Lịch sử Đảng CSVN (2TC), Pháp luật đại cương (2TC), Ứng dụng công nghệ thông tin (3TC), Ngoại ngữ 2 (14TC), Giáo dục Thể chất (3TC), Giáo dục Quốc phòng (8TC).""",https://hanu.edu.vn/c/6915/Ngon-ngu-Nga,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nga,"""Nội dung chương trình đào tạo - Khối kiến thức cơ sở ngành""","""2.	KHỐI KIỀN THỨC CƠ SỞ NGÀNH: 12 tín chỉ (TC)
2.1. Bắt buộc: 8 TC 
- Nhập môn Việt ngữ học: 2 TC 
- Dẫn luận ngôn ngữ học: 2 TC 
- Cơ sở văn hóa Việt Nam: 2 TC 
- Phương pháp nghiên cứu khoa học: 2 TC
2.2. Tự chọn: 4 TC Chọn 4 trong số 10 tín chỉ của các học phần sau: 
- Tiếng Việt trong hành chức: 02 TC 
- Văn bản tiếng Việt: 02 TC 
- Lịch sử văn minh thế giới: 02 TC 
- Hà Nội học: 02 TC 
- Dụng học Việt ngữ: 02 TC""",https://hanu.edu.vn/c/6915/Ngon-ngu-Nga,
Chương trình đào tạo cử nhân hệ chính quy ngành Ngôn ngữ Nga,"""Nội dung chương trình đào tạo - Khối kiến thức ngành""","""3.	KHỐI KIỀN THỨC NGÀNH: 68 tín chỉ (TC) 
3.1. Bắt buộc: 64 TC 
- Thực hành tiếng từ trình độ A1 đến C1: 48 TC 
- Đất nước học Nga: 3 TC 
- Văn học Nga thế kỉ 19: 3 TC 
- Ngữ âm thực hành tiếng Nga: 2 TC 
- Cấu tạo từ tiếng Nga: 2 TC 
- Từ pháp học tiếng Nga: 3 TC 
- Cú pháp học tiếng Nga: 3 TC 
3.2. Tự chọn: 04 TC 
- Từ vựng học tiếng Nga: 2 TC 
- Văn học Nga thế kì 20: 2 TC 
- Nhập môn ngữ văn Nga: 2 TC 
- Mỹ từ học tiếng Nga: 2 TC.""",https://hanu.edu.vn/c/6915/Ngon-ngu-Nga,
